# t p0=0.20 p0=0.45 p0=0.66 p0=0.75 p0=0.85
3.470000 0.004109 0.042254 0.695942 0.912502 0.974177
3.480000 0.004056 0.041765 0.696136 0.912921 0.974340
3.490000 0.004004 0.041280 0.696332 0.913338 0.974502
3.500000 0.003953 0.040801 0.696528 0.913755 0.974663
3.510000 0.003902 0.040327 0.696725 0.914170 0.974823
3.520000 0.003853 0.039857 0.696923 0.914584 0.974982
3.530000 0.003803 0.039393 0.697122 0.914997 0.975140
3.540000 0.003755 0.038933 0.697321 0.915408 0.975297
3.550000 0.003707 0.038478 0.697521 0.915819 0.975453
3.560000 0.003659 0.038028 0.697722 0.916228 0.975609
3.570000 0.003612 0.037583 0.697924 0.916636 0.975763
3.580000 0.003566 0.037142 0.698126 0.917043 0.975917
3.590000 0.003520 0.036706 0.698330 0.917449 0.976069
3.600000 0.003475 0.036274 0.698534 0.917853 0.976221
3.610000 0.003431 0.035848 0.698739 0.918256 0.976372
3.620000 0.003387 0.035425 0.698944 0.918659 0.976522
3.630000 0.003344 0.035008 0.699150 0.919059 0.976672
3.640000 0.003301 0.034594 0.699358 0.919459 0.976820
3.650000 0.003258 0.034185 0.699566 0.919858 0.976968
3.660000 0.003217 0.033781 0.699774 0.920255 0.977115
3.670000 0.003175 0.033381 0.699984 0.920651 0.977260
3.680000 0.003135 0.032985 0.700194 0.921046 0.977405
3.690000 0.003095 0.032594 0.700405 0.921439 0.977550
3.700000 0.003055 0.032206 0.700617 0.921832 0.977693
3.710000 0.003016 0.031823 0.700830 0.922223 0.977835
3.720000 0.002977 0.031445 0.701044 0.922613 0.977977
3.730000 0.002939 0.031070 0.701258 0.923001 0.978118
3.740000 0.002901 0.030699 0.701473 0.923389 0.978258
3.750000 0.002864 0.030333 0.701689 0.923775 0.978397
3.760000 0.002827 0.029970 0.701906 0.924160 0.978536
3.770000 0.002791 0.029612 0.702124 0.924544 0.978673
3.780000 0.002755 0.029257 0.702342 0.924926 0.978810
3.790000 0.002720 0.028906 0.702561 0.925307 0.978946
3.800000 0.002685 0.028560 0.702781 0.925687 0.979081
3.810000 0.002651 0.028217 0.703002 0.926066 0.979216
3.820000 0.002617 0.027878 0.703224 0.926443 0.979349
3.830000 0.002583 0.027542 0.703447 0.926819 0.979482
3.840000 0.002550 0.027211 0.703670 0.927194 0.979614
3.850000 0.002517 0.026883 0.703894 0.927568 0.979745
3.860000 0.002485 0.026559 0.704119 0.927940 0.979876
3.870000 0.002453 0.026238 0.704345 0.928311 0.980006
3.880000 0.002422 0.025921 0.704572 0.928681 0.980135
3.890000 0.002390 0.025608 0.704800 0.929050 0.980263
3.900000 0.002360 0.025298 0.705028 0.929417 0.980390
3.910000 0.002329 0.024992 0.705257 0.929783 0.980517
3.920000 0.002300 0.024689 0.705487 0.930147 0.980643
3.930000 0.002270 0.024389 0.705718 0.930511 0.980768
3.940000 0.002241 0.024093 0.705950 0.930873 0.980892
3.950000 0.002212 0.023801 0.706183 0.931234 0.981016
3.960000 0.002184 0.023511 0.706417 0.931593 0.981139
3.970000 0.002156 0.023225 0.706651 0.931952 0.981261
3.980000 0.002128 0.022943 0.706886 0.932309 0.981383
3.990000 0.002101 0.022663 0.707123 0.932664 0.981503
4.000000 0.002074 0.022387 0.707360 0.933019 0.981623
4.010000 0.002047 0.022114 0.707597 0.933372 0.981743
4.020000 0.002021 0.021844 0.707836 0.933724 0.981861
4.030000 0.001995 0.021577 0.708076 0.934074 0.981979
4.040000 0.001969 0.021313 0.708316 0.934423 0.982096
4.050000 0.001944 0.021052 0.708558 0.934771 0.982213
4.060000 0.001919 0.020795 0.708800 0.935118 0.982328
4.070000 0.001894 0.020540 0.709043 0.935463 0.982443
4.080000 0.001870 0.020288 0.709287 0.935807 0.982558
4.090000 0.001846 0.020039 0.709532 0.936150 0.982671
4.100000 0.001822 0.019793 0.709778 0.936491 0.982784
4.110000 0.001799 0.019550 0.710025 0.936831 0.982897
4.120000 0.001775 0.019310 0.710272 0.937170 0.983008
4.130000 0.001753 0.019072 0.710521 0.937508 0.983119
4.140000 0.001730 0.018838 0.710770 0.937844 0.983229
4.150000 0.001708 0.018606 0.711021 0.938179 0.983339
4.160000 0.001686 0.018376 0.711272 0.938513 0.983448
4.170000 0.001664 0.018150 0.711524 0.938845 0.983556
4.180000 0.001643 0.017926 0.711777 0.939176 0.983663
4.190000 0.001622 0.017705 0.712031 0.939506 0.983770
4.200000 0.001601 0.017486 0.712286 0.939834 0.983877
4.210000 0.001580 0.017270 0.712542 0.940161 0.983982
4.220000 0.001560 0.017057 0.712798 0.940487 0.984087
4.230000 0.001540 0.016846 0.713056 0.940812 0.984192
4.240000 0.001520 0.016637 0.713314 0.941135 0.984295
4.250000 0.001500 0.016431 0.713574 0.941457 0.984398
4.260000 0.001481 0.016228 0.713834 0.941777 0.984501
4.270000 0.001462 0.016026 0.714095 0.942097 0.984602
4.280000 0.001443 0.015828 0.714357 0.942415 0.984704
4.290000 0.001425 0.015631 0.714621 0.942732 0.984804
4.300000 0.001406 0.015437 0.714885 0.943047 0.984904
4.310000 0.001388 0.015245 0.715150 0.943361 0.985003
4.320000 0.001370 0.015056 0.715415 0.943674 0.985102
4.330000 0.001353 0.014869 0.715682 0.943986 0.985200
4.340000 0.001335 0.014684 0.715950 0.944296 0.985297
4.350000 0.001318 0.014501 0.716219 0.944605 0.985394
4.360000 0.001301 0.014321 0.716488 0.944912 0.985490
4.370000 0.001284 0.014142 0.716759 0.945219 0.985586
4.380000 0.001268 0.013966 0.717031 0.945524 0.985681
4.390000 0.001252 0.013792 0.717303 0.945828 0.985776
4.400000 0.001235 0.013620 0.717576 0.946130 0.985870
4.410000 0.001220 0.013450 0.717851 0.946431 0.985963
4.420000 0.001204 0.013282 0.718126 0.946731 0.986056
4.430000 0.001188 0.013116 0.718402 0.947030 0.986148
4.440000 0.001173 0.012952 0.718680 0.947327 0.986239
4.450000 0.001158 0.012790 0.718958 0.947623 0.986330
4.460000 0.001143 0.012630 0.719237 0.947918 0.986421
4.470000 0.001128 0.012472 0.719517 0.948212 0.986510
4.480000 0.001114 0.012316 0.719798 0.948504 0.986600
4.490000 0.001099 0.012162 0.720080 0.948795 0.986688
4.500000 0.001085 0.012010 0.720363 0.949085 0.986777
4.510000 0.001071 0.011859 0.720647 0.949373 0.986864
4.520000 0.001057 0.011711 0.720932 0.949660 0.986951
4.530000 0.001044 0.011564 0.721218 0.949946 0.987038
4.540000 0.001030 0.011419 0.721505 0.950231 0.987124
4.550000 0.001017 0.011275 0.721793 0.950514 0.987209
4.560000 0.001004 0.011134 0.722082 0.950796 0.987294
4.570000 0.000991 0.010994 0.722371 0.951077 0.987378
4.580000 0.000978 0.010856 0.722662 0.951356 0.987462
4.590000 0.000966 0.010720 0.722954 0.951635 0.987546
